basin_name,target_event,feature,correlation,abs_correlation
嘉陵江流域,DTF,precip_z_lag2,-0.13997787664649325,0.13997787664649325
嘉陵江流域,DTF,temp_z_lag2,-0.0979239077255418,0.0979239077255418
嘉陵江流域,DTF,ndvi_z_lag2,-0.08970090613845003,0.08970090613845003
嘉陵江流域,DTF,temp_z_lag1,-0.0770089027947945,0.0770089027947945
嘉陵江流域,DTF,soil_z_lag1,-0.045774716037700544,0.045774716037700544
嘉陵江流域,DTF,soil_z_lag2,-0.029204338757872785,0.029204338757872785
嘉陵江流域,DTF,precip_z_lag1,-0.01907582773614917,0.01907582773614917
嘉陵江流域,DTF,ndvi_z_lag1,0.012637654864769771,0.012637654864769771
嘉陵江流域,FTD,precip_z_lag1,0.12278399084411346,0.12278399084411346
嘉陵江流域,FTD,soil_z_lag1,0.11519025948190711,0.11519025948190711
嘉陵江流域,FTD,temp_z_lag2,0.11189190088214361,0.11189190088214361
嘉陵江流域,FTD,ndvi_z_lag2,0.07423713635965173,0.07423713635965173
嘉陵江流域,FTD,precip_z_lag2,0.04772288638797262,0.04772288638797262
嘉陵江流域,FTD,temp_z_lag1,-0.02795591054215854,0.02795591054215854
嘉陵江流域,FTD,soil_z_lag2,0.0041832598017339205,0.0041832598017339205
嘉陵江流域,FTD,ndvi_z_lag1,-0.002527314029231597,0.002527314029231597
嘉陵江流域,drought,precip_z_lag1,-0.17689921326042177,0.17689921326042177
嘉陵江流域,drought,precip_z_lag2,-0.16789167443499398,0.16789167443499398
嘉陵江流域,drought,soil_z_lag1,-0.12675780945092235,0.12675780945092235
嘉陵江流域,drought,soil_z_lag2,-0.0539735336814814,0.0539735336814814
嘉陵江流域,drought,ndvi_z_lag1,-0.03695951449901173,0.03695951449901173
嘉陵江流域,drought,temp_z_lag2,-0.035336845968961104,0.035336845968961104
嘉陵江流域,drought,ndvi_z_lag2,-0.0259288083947024,0.0259288083947024
嘉陵江流域,drought,temp_z_lag1,-0.002106537342619992,0.002106537342619992
嘉陵江流域,flood_or_wet,soil_z_lag1,0.17515924552232218,0.17515924552232218
嘉陵江流域,flood_or_wet,precip_z_lag1,0.10123478009276732,0.10123478009276732
嘉陵江流域,flood_or_wet,ndvi_z_lag2,0.06243608755314867,0.06243608755314867
嘉陵江流域,flood_or_wet,precip_z_lag2,0.03281632723867156,0.03281632723867156
嘉陵江流域,flood_or_wet,soil_z_lag2,0.022360294252179135,0.022360294252179135
嘉陵江流域,flood_or_wet,temp_z_lag2,0.014604099766438677,0.014604099766438677
嘉陵江流域,flood_or_wet,ndvi_z_lag1,-0.01134180395962675,0.01134180395962675
嘉陵江流域,flood_or_wet,temp_z_lag1,-0.009462289708079013,0.009462289708079013
汉江流域,DTF,precip_z_lag1,-0.14389681322288575,0.14389681322288575
汉江流域,DTF,soil_z_lag1,-0.1013069009487036,0.1013069009487036
汉江流域,DTF,ndvi_z_lag1,0.08808116899085566,0.08808116899085566
汉江流域,DTF,temp_z_lag2,-0.0613663386801032,0.0613663386801032
汉江流域,DTF,temp_z_lag1,0.059167900872462195,0.059167900872462195
汉江流域,DTF,soil_z_lag2,0.021571453100425804,0.021571453100425804
汉江流域,DTF,ndvi_z_lag2,0.01063277464922256,0.01063277464922256
汉江流域,DTF,precip_z_lag2,0.0033806490643810425,0.0033806490643810425
汉江流域,FTD,precip_z_lag1,0.15642234503406902,0.15642234503406902
汉江流域,FTD,ndvi_z_lag1,-0.13466790010526453,0.13466790010526453
汉江流域,FTD,soil_z_lag1,0.09091019844754052,0.09091019844754052
汉江流域,FTD,temp_z_lag2,0.059384915483087296,0.059384915483087296
汉江流域,FTD,temp_z_lag1,-0.054851216262245775,0.054851216262245775
汉江流域,FTD,ndvi_z_lag2,-0.0508855249101424,0.0508855249101424
汉江流域,FTD,soil_z_lag2,-0.03393836016882763,0.03393836016882763
汉江流域,FTD,precip_z_lag2,0.010762645187334583,0.010762645187334583
汉江流域,drought,precip_z_lag1,-0.24093641605465302,0.24093641605465302
汉江流域,drought,soil_z_lag1,-0.2335779134779044,0.2335779134779044
汉江流域,drought,soil_z_lag2,-0.15231797291705904,0.15231797291705904
汉江流域,drought,precip_z_lag2,-0.11043807941945825,0.11043807941945825
汉江流域,drought,temp_z_lag1,0.077892481303494,0.077892481303494
汉江流域,drought,ndvi_z_lag2,-0.05877575362849218,0.05877575362849218
汉江流域,drought,ndvi_z_lag1,0.029265406595828068,0.029265406595828068
汉江流域,drought,temp_z_lag2,0.023445541490555104,0.023445541490555104
汉江流域,flood_or_wet,precip_z_lag1,0.20284196885756534,0.20284196885756534
汉江流域,flood_or_wet,soil_z_lag1,0.2024227213567998,0.2024227213567998
汉江流域,flood_or_wet,temp_z_lag2,0.08869818533843438,0.08869818533843438
汉江流域,flood_or_wet,ndvi_z_lag2,0.07559932075865204,0.07559932075865204
汉江流域,flood_or_wet,temp_z_lag1,-0.06920987738619432,0.06920987738619432
汉江流域,flood_or_wet,ndvi_z_lag1,-0.04108480578462495,0.04108480578462495
汉江流域,flood_or_wet,soil_z_lag2,0.031735989924180655,0.031735989924180655
汉江流域,flood_or_wet,precip_z_lag2,0.02082571836009779,0.02082571836009779
洞庭湖流域,DTF,precip_z_lag1,-0.17041903320383597,0.17041903320383597
洞庭湖流域,DTF,soil_z_lag1,-0.09575660582902276,0.09575660582902276
洞庭湖流域,DTF,temp_z_lag1,0.0874498766765847,0.0874498766765847
洞庭湖流域,DTF,temp_z_lag2,0.03569759310750796,0.03569759310750796
洞庭湖流域,DTF,ndvi_z_lag2,-0.024402804976917856,0.024402804976917856
洞庭湖流域,DTF,precip_z_lag2,-0.020186348541782764,0.020186348541782764
洞庭湖流域,DTF,soil_z_lag2,0.012660598010996511,0.012660598010996511
洞庭湖流域,DTF,ndvi_z_lag1,0.005527904977735066,0.005527904977735066
洞庭湖流域,FTD,soil_z_lag1,0.12671651941198384,0.12671651941198384
洞庭湖流域,FTD,precip_z_lag1,0.08439070149878096,0.08439070149878096
洞庭湖流域,FTD,soil_z_lag2,0.07561777772456621,0.07561777772456621
洞庭湖流域,FTD,ndvi_z_lag2,0.059456815736436346,0.059456815736436346
洞庭湖流域,FTD,ndvi_z_lag1,-0.050667388192023884,0.050667388192023884
洞庭湖流域,FTD,temp_z_lag1,-0.04879384530791191,0.04879384530791191
洞庭湖流域,FTD,temp_z_lag2,-0.030583565588202653,0.030583565588202653
洞庭湖流域,FTD,precip_z_lag2,-0.0066773605961241754,0.0066773605961241754
洞庭湖流域,drought,precip_z_lag1,-0.25360526581517756,0.25360526581517756
洞庭湖流域,drought,soil_z_lag1,-0.23918327195262382,0.23918327195262382
洞庭湖流域,drought,soil_z_lag2,-0.10918590809987411,0.10918590809987411
洞庭湖流域,drought,ndvi_z_lag2,-0.10579897975731412,0.10579897975731412
洞庭湖流域,drought,precip_z_lag2,-0.10388868076254419,0.10388868076254419
洞庭湖流域,drought,temp_z_lag1,0.039733357548289536,0.039733357548289536
洞庭湖流域,drought,ndvi_z_lag1,0.026247973571025596,0.026247973571025596
洞庭湖流域,drought,temp_z_lag2,0.018607067347242722,0.018607067347242722
洞庭湖流域,flood_or_wet,soil_z_lag1,0.24291417362067635,0.24291417362067635
洞庭湖流域,flood_or_wet,soil_z_lag2,0.21652760142852118,0.21652760142852118
洞庭湖流域,flood_or_wet,precip_z_lag1,0.20998571520021456,0.20998571520021456
洞庭湖流域,flood_or_wet,ndvi_z_lag2,0.11312572718974653,0.11312572718974653
洞庭湖流域,flood_or_wet,temp_z_lag2,-0.07115066525629812,0.07115066525629812
洞庭湖流域,flood_or_wet,precip_z_lag2,0.06985780843332788,0.06985780843332788
洞庭湖流域,flood_or_wet,temp_z_lag1,-0.017389993072581808,0.017389993072581808
洞庭湖流域,flood_or_wet,ndvi_z_lag1,-0.01037976081381222,0.01037976081381222
鄱阳湖流域,DTF,soil_z_lag2,-0.07005963189441303,0.07005963189441303
鄱阳湖流域,DTF,precip_z_lag1,-0.06768681949804582,0.06768681949804582
鄱阳湖流域,DTF,ndvi_z_lag2,-0.0391107066135174,0.0391107066135174
鄱阳湖流域,DTF,ndvi_z_lag1,0.026311657095177177,0.026311657095177177
鄱阳湖流域,DTF,soil_z_lag1,-0.025895746410890298,0.025895746410890298
鄱阳湖流域,DTF,temp_z_lag2,0.010125239756177037,0.010125239756177037
鄱阳湖流域,DTF,precip_z_lag2,-0.005143627596748631,0.005143627596748631
鄱阳湖流域,DTF,temp_z_lag1,0.004036329349374012,0.004036329349374012
鄱阳湖流域,FTD,ndvi_z_lag2,0.0961631512971731,0.0961631512971731
鄱阳湖流域,FTD,ndvi_z_lag1,-0.08519218005710387,0.08519218005710387
鄱阳湖流域,FTD,temp_z_lag1,-0.07247783573677823,0.07247783573677823
鄱阳湖流域,FTD,soil_z_lag1,0.04086936935593231,0.04086936935593231
鄱阳湖流域,FTD,precip_z_lag1,0.028723866785226607,0.028723866785226607
鄱阳湖流域,FTD,precip_z_lag2,0.023156142382141892,0.023156142382141892
鄱阳湖流域,FTD,temp_z_lag2,0.0038099369054645778,0.0038099369054645778
鄱阳湖流域,FTD,soil_z_lag2,0.0012358464863680937,0.0012358464863680937
鄱阳湖流域,drought,soil_z_lag1,-0.2908874063948569,0.2908874063948569
鄱阳湖流域,drought,precip_z_lag1,-0.261280938968353,0.261280938968353
鄱阳湖流域,drought,ndvi_z_lag2,-0.12557222621139674,0.12557222621139674
鄱阳湖流域,drought,soil_z_lag2,-0.11528164616373375,0.11528164616373375
鄱阳湖流域,drought,ndvi_z_lag1,0.09781004441011193,0.09781004441011193
鄱阳湖流域,drought,precip_z_lag2,-0.0948297202626888,0.0948297202626888
鄱阳湖流域,drought,temp_z_lag1,-0.02416657749839653,0.02416657749839653
鄱阳湖流域,drought,temp_z_lag2,-0.014620614838385945,0.014620614838385945
鄱阳湖流域,flood_or_wet,precip_z_lag2,0.19839344710318696,0.19839344710318696
鄱阳湖流域,flood_or_wet,soil_z_lag2,0.1924021981550188,0.1924021981550188
鄱阳湖流域,flood_or_wet,precip_z_lag1,0.152883246705148,0.152883246705148
鄱阳湖流域,flood_or_wet,soil_z_lag1,0.14295865148662842,0.14295865148662842
鄱阳湖流域,flood_or_wet,temp_z_lag2,-0.09666340150865523,0.09666340150865523
鄱阳湖流域,flood_or_wet,temp_z_lag1,-0.04808824218180891,0.04808824218180891
鄱阳湖流域,flood_or_wet,ndvi_z_lag1,-0.04510077006969341,0.04510077006969341
鄱阳湖流域,flood_or_wet,ndvi_z_lag2,0.01853297387480839,0.01853297387480839
