basin_name,total_drought_months,total_flood_months,total_dtf_events,total_ftd_events,mean_drought_intensity,mean_flood_intensity,max_drought_intensity,max_flood_intensity,first_event_year,last_event_year
嘉陵江流域,61,60,20,16,2.4818688378428426,2.2620534284045055,4.819034618926766,5.418017215316314,2001,2023
汉江流域,62,64,19,12,2.502814079773758,2.314774311960901,5.115412297449655,4.033525564065479,2001,2023
洞庭湖流域,60,64,9,18,2.60404796618395,2.251134221666083,4.94468418494429,4.975140886202282,2001,2023
鄱阳湖流域,56,57,11,12,2.608069816365562,2.4526736183629914,5.175827761104468,5.144553499055044,2001,2023
