basin_id,basin_name,date,year,month,precip_mm,temp_c,soil_moisture,ndvi,elevation,slope,precip_z,soil_z,ndvi_z,temp_z,drought_flag,flood_flag,drought_intensity,flood_intensity,dtf_flag,dtf_lag_month,dtf_from_date,dtf_to_date,dtf_intensity,ftd_flag,ftd_lag_month,ftd_from_date,ftd_to_date,ftd_intensity
jialing,嘉陵江流域,2001-01-01,2001,1,9.428263458488034,0.7876916093945577,0.3857290592623231,0.2817131833459301,1267.391495040052,2.9235424484812462,0.8610771711774374,1.4640514521957346,-1.1510677675277134,0.026167790810951618,0,1,0.5755338837638567,2.325128623373172,0,,,,,1,2,2001-01-01,2001-03-01,5.455316627460145
jialing,嘉陵江流域,2001-02-01,2001,2,9.672858401047412,3.3549167669443825,0.3830454798155231,0.3322469894573561,1267.391495040052,2.9235424484812462,-0.6416297758970728,1.021244885013411,-0.3630602856675054,0.02223877002969371,0,1,0.8231599187308255,1.021244885013411,0,,,,,1,1,2001-02-01,2001-03-01,4.151432889100384
jialing,嘉陵江流域,2001-03-01,2001,3,21.191947774909323,8.306779309158742,0.3536745244459434,0.3970625809463127,1267.391495040052,2.9235424484812462,-1.6243416768974719,-1.2184807205826351,-0.5747312132137314,0.18870953324946935,1,0,3.130188004086973,0.0,0,,,,,0,,,,
jialing,嘉陵江流域,2001-04-01,2001,4,57.432783800728544,11.10337522469088,0.370476719254386,0.4142817448588894,1267.391495040052,2.9235424484812462,-0.6925187046934093,0.09668221270388395,-2.2265738072617323,-1.72963667061232,0,0,1.8058056083242753,0.09668221270388395,0,,,,,0,,,,
jialing,嘉陵江流域,2001-05-01,2001,5,77.25467751054731,16.431107301568378,0.3402230445746536,0.5024357312795564,1267.391495040052,2.9235424484812462,-1.5212362315486356,-1.3615200306390607,-2.791583349396463,-0.24823201299341216,1,0,4.278547936885928,0.0,0,,,,,0,,,,
jialing,嘉陵江流域,2001-06-01,2001,6,112.62821221566588,19.26315357344136,0.3682940755310797,0.653794620533461,1267.391495040052,2.9235424484812462,-0.9609377005375486,0.340101989971776,-0.6250976669419215,-1.2215793614379293,0,0,1.2734865340085093,0.340101989971776,0,,,,,0,,,,
jialing,嘉陵江流域,2001-07-01,2001,7,113.56546968282582,23.12030833314136,0.3440337008080185,0.7066822330837917,1267.391495040052,2.9235424484812462,-1.348431603481913,-1.4130318129359443,-1.1229940276406494,1.0912690076428908,1,0,3.322960430238182,0.0,1,2,2001-07-01,2001-09-01,5.145623423011792,0,,,,
jialing,嘉陵江流域,2001-08-01,2001,8,148.06244175344438,20.29928977499421,0.3909738881980415,0.6306664482281454,1267.391495040052,2.9235424484812462,-0.129358025051322,0.7323148303334882,-1.7150020138800979,-1.264318351551954,0,0,0.9868590319913709,0.7323148303334882,0,,,,,0,,,,
jialing,嘉陵江流域,2001-09-01,2001,9,160.69771549837512,17.090017637235203,0.414943303527012,0.4282657532516269,1267.391495040052,2.9235424484812462,0.15446303987856247,1.6681999528950475,-1.7005655933270862,-1.1196343644924887,0,1,0.8502827966635431,1.82266299277361,0,,,,,0,,,,
jialing,嘉陵江流域,2001-10-01,2001,10,68.1642917522071,13.523624203511416,0.411947097037887,0.5329158943261442,1267.391495040052,2.9235424484812462,-0.4629191698745789,1.0714962697043646,-0.4617609475404804,0.9233967183696034,0,1,0.693799643644819,1.0714962697043646,0,,,,,0,,,,
jialing,嘉陵江流域,2001-11-01,2001,11,16.831640125573443,7.830444621495404,0.3918870358234598,0.4399670566834697,1267.391495040052,2.9235424484812462,-0.7628653482969189,0.2723776119287557,-0.8938490743445748,0.3197212644628082,0,0,1.2097898854692062,0.2723776119287557,0,,,,,0,,,,
jialing,嘉陵江流域,2001-12-01,2001,12,8.32258759391699,-0.0609094847059007,0.389276159313146,0.3335925480531846,1267.391495040052,2.9235424484812462,0.6902865145756546,1.1050168189980145,-1.0601077923098046,-2.01358383148914,0,1,0.5300538961549023,1.7953033335736692,0,,,,,0,,,,
