basin_name,event_type,relative_month,mean_ndvi_z,median_ndvi_z,std_ndvi_z,mean_ndvi,median_ndvi,std_ndvi,sample_count
嘉陵江流域,DTF,-3,-0.04905598253022298,0.285240043303654,1.0861010746835225,0.49885612917700656,0.4518013811423811,0.14386287467094727,20
嘉陵江流域,DTF,-2,-0.3305402149047299,-0.23475921690771373,1.087573322144216,0.4905429452307044,0.4659010749524649,0.14522378335252947,20
嘉陵江流域,DTF,-1,0.03880317880394498,0.03858713409639845,0.8979467284376293,0.5258831253645122,0.5346577987983197,0.12761089337924872,20
嘉陵江流域,DTF,0,-0.08030276438165139,0.2063262903420317,1.0550329875887101,0.5395623743688296,0.5313426081813881,0.1320760406406773,20
嘉陵江流域,DTF,1,-0.005167185269582297,0.3118509043022941,1.1781151711030846,0.5690938575082415,0.5659067093823396,0.1252346238799999,20
嘉陵江流域,DTF,2,0.276015507813473,0.5243699823322981,0.8697197784895475,0.5784670817847546,0.600215330833775,0.15891184462520266,20
嘉陵江流域,DTF,3,0.4738794751051665,0.6811830227306408,0.8753558885004165,0.5911516552474627,0.6090547430588118,0.15153013211090205,20
嘉陵江流域,DTF,4,-0.12124678431611358,0.0065128891576507475,1.1619859035957738,0.5545231732630531,0.5469945868892201,0.125793262332279,20
嘉陵江流域,DTF,5,0.13423497197062934,0.34689520590314277,1.1731256527267209,0.56043589465232,0.568896523337073,0.13202487078900405,20
嘉陵江流域,DTF,6,0.2494247892998483,0.4837923181074879,1.0075658227005984,0.5422159360676182,0.5381775710102794,0.12395378703725868,20
嘉陵江流域,FTD,-3,0.1512663495748867,0.13649011686224105,0.8461104251458405,0.5233806923563431,0.5285627611359998,0.12915846477864845,14
嘉陵江流域,FTD,-2,0.302077628307305,0.4551362614817037,1.051542534908584,0.570406400327937,0.5653150846551069,0.11134391579095941,14
嘉陵江流域,FTD,-1,-0.01665309152500128,0.2286358920476267,1.0758903321684463,0.5750094593460392,0.6173803302931777,0.1435766480712733,15
嘉陵江流域,FTD,0,0.13188446874776594,0.2676305057632483,0.8259367883563532,0.5869883884000653,0.6489032850245826,0.1707125985911703,16
嘉陵江流域,FTD,1,0.21646251642917963,0.464822667827243,0.9346461557631395,0.5856480361325417,0.6300173540237417,0.16530353141393672,16
嘉陵江流域,FTD,2,-0.057440210956813204,0.1948963067546447,1.0815612755373964,0.5641834531766076,0.53280396985195,0.1455283666241795,16
嘉陵江流域,FTD,3,-0.3419847473034676,-0.02802524839918155,1.307456816084252,0.54050294165576,0.5426737605558987,0.1228422021885999,16
嘉陵江流域,FTD,4,-0.12261320433860118,0.10940825575949445,1.1576045153969798,0.523608561001603,0.5195925395544055,0.10548268772459403,16
嘉陵江流域,FTD,5,-0.32953070733092615,-0.6449933539623696,1.1510729892359135,0.5069457655082559,0.5256832639179841,0.1290611365594227,16
嘉陵江流域,FTD,6,-0.0723859479744779,0.12822584299853385,1.3366579220344117,0.5142657543545848,0.48136419624692034,0.14667134857436764,16
嘉陵江流域,drought_hydro,-3,0.07131759985430243,0.3357500213636042,0.9771365864554742,0.5511434948394065,0.5706758204569474,0.13694722378751298,53
嘉陵江流域,drought_hydro,-2,0.009887131060848679,0.009823622987642748,0.9278473871938522,0.5464534746838265,0.5449579838481629,0.13408284447991906,54
嘉陵江流域,drought_hydro,-1,-0.008463206240584045,-0.026291834061277948,0.9570678902347451,0.5501911510977222,0.576118571896022,0.13010444817580902,54
嘉陵江流域,drought_hydro,0,0.07212277842646148,0.2574364984768591,0.9294764662359373,0.5529657586984885,0.5313426081813881,0.134053303907956,54
嘉陵江流域,drought_hydro,1,-0.1014027579920115,-0.0903854386455442,0.9263283932923327,0.5371853439709603,0.5293278261945351,0.15592467705601143,53
嘉陵江流域,drought_hydro,2,-0.08399515308730203,0.1989529144640566,1.0863159163647405,0.5242422227536422,0.5024357312795564,0.1556331634133544,53
嘉陵江流域,drought_hydro,3,0.09838115965156945,0.3487719650356992,1.0095624584287668,0.5380805404759856,0.5539577602679274,0.13815004827011781,53
嘉陵江流域,drought_hydro,4,-0.11062218146390884,-0.1698205778439545,0.9961164033700288,0.5240779404222085,0.5273706168657334,0.12160986503914162,53
嘉陵江流域,drought_hydro,5,-0.04001144952562476,0.1283127903064522,1.0680408785074849,0.5293504820956435,0.5100458385097045,0.1216608010747037,53
嘉陵江流域,drought_hydro,6,-0.05062618532421023,0.3567686047829846,1.0938640216502356,0.5334970383364865,0.5068959815334803,0.1457172987185294,53
嘉陵江流域,flood_hydro,-3,-0.018907893818567265,0.03858713409639845,0.9501696115601594,0.539559683111732,0.5256632821994522,0.13689473105060684,58
嘉陵江流域,flood_hydro,-2,0.10481897382752466,0.23800383106875517,0.9582585805101803,0.5573618505689714,0.5586382360539477,0.1304957713380065,58
嘉陵江流域,flood_hydro,-1,-0.027793790328692766,0.2136996662200068,1.0949444103189585,0.5502941907476243,0.5484581596844995,0.1394138723374697,59
嘉陵江流域,flood_hydro,0,-0.12372802520285223,-0.24175198138796883,1.0186831455009044,0.5459824527642085,0.5855294292147972,0.1558399350095375,60
嘉陵江流域,flood_hydro,1,0.11339670618869198,0.32756498446047616,0.8800917270256714,0.5503867422533771,0.5331366422471926,0.15518320347274184,60
嘉陵江流域,flood_hydro,2,-0.12029573982277589,-0.29675020416214565,1.0035507806645816,0.5318158848895546,0.5200942281862104,0.14602923948845006,60
嘉陵江流域,flood_hydro,3,-0.05306874432812187,0.12397365074931649,1.0760439313130719,0.5319925351477749,0.5164482009880409,0.13570531565598004,60
嘉陵江流域,flood_hydro,4,0.04646396267139297,0.070260760300851,1.014339727272752,0.5299541350111014,0.5142749145573924,0.12795724121464905,60
嘉陵江流域,flood_hydro,5,-0.029082695789667216,0.007745244244036449,1.0188392080131294,0.5264069368914192,0.5262329925548612,0.13743452224307154,60
嘉陵江流域,flood_hydro,6,-0.03291958701531498,0.059151695821954606,0.9856272874458716,0.5280807947968771,0.5137482667950923,0.1356321164754404,60
汉江流域,DTF,-3,-0.1644663329942884,-0.2103310893749399,1.0591835817306745,0.580759765986448,0.5992801504736166,0.15189369792535115,19
汉江流域,DTF,-2,0.026077073613573823,0.1115093766064313,0.6372297869871139,0.5927695619602765,0.5967546145188252,0.14665574754565505,19
汉江流域,DTF,-1,0.3194670949606005,0.3494068928072345,0.7821806752975338,0.6042209402827496,0.6334879950869824,0.13147563926832265,19
汉江流域,DTF,0,-0.010894594096653281,0.0024104980304696,0.9233686470916292,0.5812186673908472,0.5729440312748368,0.1346357769101088,19
汉江流域,DTF,1,0.01732170728837345,-0.090430311311498,1.05719900925962,0.5606441971344184,0.5729440312748368,0.1625816187458687,19
汉江流域,DTF,2,-0.09395943196397354,0.3413147421407533,1.144732255452697,0.5291213317601443,0.5046405543130071,0.16087876740912208,19
汉江流域,DTF,3,0.4685892282408516,0.7713231265185262,1.0052716618972575,0.5303548294622413,0.5046405543130071,0.16181558122703774,19
汉江流域,DTF,4,0.05746341017579296,0.0298785191695853,0.9998207570255503,0.4993595334524591,0.4777570968350269,0.14330820109358106,19
汉江流域,DTF,5,0.29762247131523784,0.3820624635523543,1.0595268301217733,0.5273284379706247,0.4867852642470283,0.1361729819033497,19
汉江流域,DTF,6,-0.327485362454098,-0.3797862981375583,1.0421187236219704,0.5175242135423317,0.503148266799569,0.1282305583771873,19
汉江流域,FTD,-3,-0.030880942225504103,0.03039851494352025,0.7730610821387195,0.5522501687421273,0.5221835174708803,0.1630707660609268,10
汉江流域,FTD,-2,-0.2716635533634487,-0.19408952815497627,1.0334515926409356,0.5704891310757068,0.6062470350448638,0.13936990236400598,10
汉江流域,FTD,-1,-0.6634182235273761,-0.5396714446995579,1.0957879086072855,0.520010087509525,0.4965707921441637,0.1671870023896149,11
汉江流域,FTD,0,-0.23049534591704543,-0.2198478316325589,0.9206701269036404,0.5327842730338559,0.5607928768814767,0.17585315587502984,12
汉江流域,FTD,1,-0.15907133019155495,-0.28741866199118427,0.761109716273331,0.5393767622319782,0.49610019802501476,0.16806034960801836,12
汉江流域,FTD,2,-0.5153908435011929,-0.5450621102889042,0.983067090726581,0.5370811768612781,0.49869280107647895,0.1490162530769242,12
汉江流域,FTD,3,-0.5949317302110142,-0.40541387802459283,0.9925584394778303,0.5366329615037273,0.5790142267815219,0.13008667728604947,12
汉江流域,FTD,4,-0.33542728023880636,-0.26479663478727333,1.099556340647489,0.5457223367027555,0.5635745633738496,0.11666057296928758,12
汉江流域,FTD,5,-0.5293208181337318,-0.6631249657425187,0.8753997072031142,0.5439138174596505,0.49213945601143505,0.16319005572985423,12
汉江流域,FTD,6,-0.6731931481440415,-0.8672009806839112,1.1782014860439463,0.5477345432669011,0.6391423799471283,0.1883166963596348,12
汉江流域,drought_hydro,-3,0.03253851476994704,0.1734864205998461,0.8571528502439827,0.5468917221169299,0.5461920996230881,0.1561409802943508,53
汉江流域,drought_hydro,-2,0.05978549434133222,0.1201099855734743,0.751114089303359,0.5415233607720523,0.5461920996230881,0.15930132137157735,53
汉江流域,drought_hydro,-1,0.17724152122771758,0.2140910887386867,0.7246379307282255,0.5498494695543272,0.5526311867902289,0.15455962942939094,53
汉江流域,drought_hydro,0,-0.09618774857503351,-0.0597782414678075,0.8181281663929176,0.5384828616729425,0.5395321692388201,0.1405959923536234,53
汉江流域,drought_hydro,1,-0.1395215538297956,-0.0113099309116821,0.9113159598085747,0.5429427965947529,0.5577292657945675,0.14853744834066673,53
汉江流域,drought_hydro,2,-0.28208703976899413,-0.1468930400045948,1.0290259370911619,0.543094080281161,0.5615198957006582,0.15919140750240424,53
汉江流域,drought_hydro,3,0.1530380273072263,0.224804465398727,0.9675593577391629,0.5660710339948691,0.5975096566126405,0.15318071305732722,53
汉江流域,drought_hydro,4,-0.03229894620587704,0.0756749716399225,0.8907301501513915,0.5584555823739799,0.5461920996230881,0.15400993254464632,53
汉江流域,drought_hydro,5,0.2835515524625,0.3494068928072345,0.8713107720104417,0.5747224336988405,0.5967546145188252,0.1444967173443905,53
汉江流域,drought_hydro,6,0.06980515829326715,0.0285612380294715,0.9359316261578101,0.5635296326132601,0.5992801504736166,0.13900444391668051,53
汉江流域,flood_hydro,-3,0.01032659417829244,0.1630531734200351,1.0241035034111534,0.5601305854598673,0.578584522598592,0.1545968456593904,62
汉江流域,flood_hydro,-2,0.12602341742471512,0.16394894970262094,1.0231686627199268,0.567311388567002,0.6062470350448638,0.1461614098605468,62
汉江流域,flood_hydro,-1,-0.07914777502831424,-0.090430311311498,1.1673436749863835,0.5503100972522708,0.5468088946141894,0.15297635864141124,63
汉江流域,flood_hydro,0,-0.1056532573236875,-0.12509321257594086,1.152629029513358,0.5434132808318294,0.5403259595762515,0.15776032894149208,64
汉江流域,flood_hydro,1,0.012652520028824995,0.0194949775716639,1.1371298430774364,0.5478214827771811,0.5431334690549311,0.15222939406584415,63
汉江流域,flood_hydro,2,0.029743368469253524,0.0298785191695853,1.0288891563377862,0.544693929090997,0.5431334690549311,0.15096578799007773,63
